Timestamp,Value
55478,0
55479,0
55480,-0.001
55481,-0.002
55482,0.018000000000000002
55483,-0.028
55484,-0.097
55485,0.28700000000000003
55486,0.227
55487,-1.289
55488,-1.092
55489,2.63
55490,2.869
55491,-8.845
55492,-29.798000000000002
55493,-32.767
55558,-32.767
55559,-32.767
55560,-32.767
55561,-32.767
55562,-32.767
55563,-32.767
55564,-32.767
55565,-32.767
55566,-32.767
55567,-32.767
55568,-32.767
55569,-32.767
55570,-32.46
55571,-31.95
55572,-31.454
55573,-30.964000000000002
55638,-30.483
55639,-30.011
55640,-29.544
55641,-29.085
55642,-28.63
55643,-28.184
55644,-27.746000000000002
55645,-27.315
55646,-26.891000000000002
55647,-26.471
55648,-26.059
55649,-25.655
55650,-25.257
55651,-24.865000000000002
55652,-24.478
55653,-24.097
55718,-23.723
55719,-23.355
55720,-22.991
55721,-22.633
55722,-22.281
55723,-21.934
55724,-21.595
55725,-21.259
55726,-20.928
55727,-20.602
55728,-20.282
55729,-19.967
55730,-19.657
55731,-19.352
55732,-19.051000000000002
55733,-18.755
55798,-18.463
55799,-18.176000000000002
55800,-17.892
55801,-17.613
55802,-17.34
55803,-17.072
55804,-16.807
55805,-16.546
55806,-16.289
55807,-16.034
55808,-15.783
55809,-15.538
55810,-15.297
55811,-15.059000000000001
55812,-14.825000000000001
55813,-14.595
55878,-14.369
55879,-14.145
55880,-13.925
55881,-13.709
55882,-13.496
55883,-13.286
55884,-13.08
55885,-12.877
55886,-12.677
55887,-12.48
55888,-12.287
55889,-12.097
55890,-11.91
55891,-11.726
55892,-11.544
55893,-11.364
55958,-11.189
55959,-11.016
55960,-10.844
55961,-10.674
55962,-10.506
55963,-10.343
55964,-10.183
55965,-10.025
55966,-9.869
55967,-9.715
55968,-9.564
55969,-9.417
55970,-9.272
55971,-9.128
55972,-8.987
55973,-8.847
56038,-8.709
56039,-8.575000000000001
56040,-8.444
56041,-8.313
56042,-8.183
56043,-8.055
56044,-7.930000000000001
56045,-7.807
56046,-7.687
56047,-7.5680000000000005
56048,-7.4510000000000005
56049,-7.336
56050,-7.224
56051,-7.11
56052,-6.998
56053,-6.890000000000001
56118,-6.783
56119,-6.6770000000000005
56120,-6.574
56121,-6.473
56122,-6.373
56123,-6.274
56124,-6.176
56125,-6.08
56126,-5.986
56127,-5.893
56128,-5.8020000000000005
56129,-5.711
56130,-5.622
56131,-5.535
56132,-5.449
56133,-5.3660000000000005
56198,-5.282
56199,-5.2
56200,-5.12
56201,-5.041
56202,-4.963
56203,-4.885
56204,-4.808
56205,-4.734
56206,-4.663
56207,-4.591
56208,-4.5200000000000005
